instance,#1,#2,#3,#4,#5
ORTEC-VRPTW-ASYM-00c5356f-d1-n258-k12,116401,116401,116401,116401,116401
ORTEC-VRPTW-ASYM-01829532-d1-n324-k22,254431,254431,254431,254431,254431
